Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;PurgeRamp;121074;F8;EquipmentConstant;mbar;Specifies the default purge ramp interval per second up to the controlled purge (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;TakeoverVacuum;121075;F8;EquipmentConstant;mbar;Specifies the vacuum value when evacuating before wafer is taken over.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;VacuumRamp;121076;F8;EquipmentConstant;mbar;Specifies the default vacuum ramp interval per second up to the controlled vacuum (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;VacuumThreshold;121077;F8;EquipmentConstant;mbar;Specifies the threshold of the vacuum which indicates available or leaking. The vacuum value is negative compared to the ambient pressure. E.g. Vacuum = -750 mBar and Threshold = -800 mBar means 'Leaking'       Vacuum = -810 mBar and Threshold = -800 mBar means 'Available';False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0605.VacuumArea;VacuumTimeout;121078;I4;EquipmentConstant;ms;Specifies the maximum time which is waited for vacuum.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;DefaultPressure;121079;F8;EquipmentConstant;mbar;Specifies the default pressure setpoint when purging. E.g. 1000 mbar. The pressure value is positive compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;DefaultVacuum;121080;F8;EquipmentConstant;mbar;Specifies the default vacuum setpoint when evacuating. E.g. -800 mbar. The vacuum value is negative compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;PurgeRamp;121081;F8;EquipmentConstant;mbar;Specifies the default purge ramp interval per second up to the controlled purge (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;TakeoverVacuum;121082;F8;EquipmentConstant;mbar;Specifies the vacuum value when evacuating before wafer is taken over.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;VacuumRamp;121083;F8;EquipmentConstant;mbar;Specifies the default vacuum ramp interval per second up to the controlled vacuum (So the unit is Millibar per second). Value = 0 means no ramp.;False
